Anterior floor plate
Neuron progenitor cells
Neural crest (PNS neurons)
Neuromesodermal progenitors
Spinal cord (dorsal)
Spinal cord (ventral)
Roof plate
Mesencephalon/MHB
Posterior floor plate
Di/telencephalon
Neural crest (PNS glia)
Hindbrain
Retinal primordium
Motor neurons
Fusing epithelium
Olfactory epithelium
Apical ectodermal ridge
Placodal area
Pre-epidermal keratinocytes
Otic epithelium
Branchial arch epithelium
Primordial germ cells
Gut and lung epithelium
Hepatocytes
Amniochorionic mesoderm A
Renal epithelium
Blood progenitors
Splanchnic mesoderm
Endothelium
Osteoblast progenitors B
Somatic mesoderm
Intermediate mesoderm
Osteoblast progenitors A
Skeletal muscle progenitors
Extraembryonic mesoderm
Primitive erythroid cells
Paraxial mesoderm B
Amniochorionic mesoderm B
Second heart field
Limb mesenchyme progenitors
First heart field
Chondrocyte and osteoblast progenitors
Mesenchymal stromal cells
Extraembryonic visceral endoderm
