,0
0,0.5723793677204659
1,0.6422628951747088
2,0.6306156405990017
3,0.7054908485856906
4,0.7753743760399334
5,0.7803660565723793
6,0.8302828618968386
7,0.8618968386023295
8,0.8602329450915142
9,0.9001663893510815
10,0.9034941763727121
11,0.9184692179700499
12,0.9251247920133111
13,0.9168053244592346
14,0.9284525790349417
15,0.9317803660565723
16,0.9367720465890182
17,0.9267886855241264
18,0.930116472545757
19,0.9284525790349417
20,0.9317803660565723
21,0.9201331114808652
22,0.9168053244592346
23,0.9234608985024958
24,0.9217970049916805
25,0.9184692179700499
26,0.9251247920133111
27,0.9334442595673876
28,0.9384359400998337
29,0.9450915141430949
30,0.9484193011647255
31,0.9550748752079867
32,0.9534109816971714
33,0.956738768718802
34,0.956738768718802
35,0.956738768718802
36,0.9584026622296173
37,0.956738768718802
38,0.9633943427620633
39,0.961730449251248
40,0.9633943427620633
41,0.9600665557404326
42,0.9633943427620633
43,0.9650582362728786
44,0.9683860232945092
45,0.9650582362728786
46,0.9683860232945092
47,0.9683860232945092
