,0
0,0.09854627135717253
1,0.10712501543353747
2,0.15933405116573418
3,0.1607836240419992
4,0.16077951925857492
5,0.16448759091014342
6,0.16567068366342175
7,0.18560809977061388
8,0.1923073711675113
9,0.3696245818033992
10,0.3703913986021684
11,0.36562419736197416
12,0.3610885562077121
13,0.36143742041985283
14,0.4073725369845711
15,0.4304059957624172
16,0.45221904960883685
17,0.45293176743193564
18,0.4873065847276543
19,0.5009688071876699
20,0.5468699668153325
21,0.584983490180768
22,0.5893535027475749
23,0.6018284577276507
24,0.6025238259455117
25,0.6037380319265699
26,0.6179922172942381
27,0.6202821004979686
28,0.6305006705198792
29,0.6303196731086907
30,0.6365358887114906
31,0.6344998709056886
32,0.636888532535792
33,0.6373139523741908
34,0.6435146501602308
35,0.6500034497902337
36,0.6536216004626016
37,0.6704382034687371
38,0.6978891225120678
39,0.6989806939787486
40,0.712762582476433
41,0.7153206133963693
42,0.7087333585368842
43,0.6687720948905437
