,0
0,0.2166532481817124
1,0.05374266881857992
2,0.19754750952569444
3,0.2202006615138009
4,0.321528477290129
5,0.2163116287676753
6,0.381191868253855
7,0.4697788242544967
8,0.3389934478660488
9,0.328954946160782
10,0.34499902901810364
11,0.3309844838602809
12,0.5566651093182946
13,0.5637935916040533
14,0.5668098506475918
15,0.5829575413253856
16,0.5946883539855574
17,0.6038540763560623
18,0.6910317677397291
19,0.7365948916042659
20,0.7678393832717405
21,0.7909480372078632
22,0.8046778252071364
23,0.8188181743214845
24,0.823227923797917
25,0.8276455766286996
26,0.8459298815008433
27,0.8487564991465297
28,0.8512381072989474
29,0.8522366189567998
30,0.8629665033381803
31,0.8704857475487339
32,0.8735936089946125
33,0.874702970826635
34,0.8777652262975056
35,0.8847653943466123
36,0.8941191858354406
37,0.899378804372447
38,0.909842604699083
39,0.911861779456888
40,0.9176135789094699
41,0.9192403930478495
42,0.919924134327177
43,0.923461402100727
