,0
0,0.020734361801263645
1,0.0286723701092646
2,0.04656665157039086
3,0.04959219494681599
4,0.04140058948030789
5,0.046050079948067535
6,0.07055672657486922
7,0.09408164394102048
8,0.0977480105543661
9,0.12487476300616573
10,0.13035225676255957
11,0.14221685314905685
12,0.15608653114460636
13,0.15790209795705512
14,0.15913821175634013
15,0.17139414732945746
16,0.21927529111972832
17,0.23232582182630712
18,0.2777685288282482
19,0.3258846822458745
20,0.33330957268116823
21,0.3384828331594809
22,0.35395173471476515
23,0.3679830159247234
24,0.37185966733197306
25,0.38285506504165145
26,0.40854917210704134
27,0.4150017587683379
28,0.4276860986825123
29,0.4315022563347878
30,0.4470374660942581
31,0.45296648107790316
32,0.45696330225494286
33,0.46043573085678025
34,0.4645629741006776
35,0.4727206152655109
36,0.49430734310016367
37,0.507502461227407
38,0.5160996733315603
39,0.5203609365760515
40,0.5250385026528197
41,0.5270909321435148
42,0.5296603496262333
43,0.5369301275592524
