,0
0,0.20891646227095656
1,0.2142067041792911
2,0.2891357668446112
3,0.29096330495839945
4,0.29101139806665705
5,0.31082575866878276
6,0.31332660029817727
7,0.3266002981772712
8,0.32611936709469536
9,0.5959217044197567
10,0.5959217044197567
11,0.5906314625114221
12,0.5719232433992208
13,0.5726927331313423
14,0.6225171932862021
15,0.6410811330736306
16,0.6553647862261338
17,0.6563266483912855
18,0.6616649834078776
19,0.6787380368393209
20,0.713749819650844
21,0.7455393642091088
22,0.7443851296109267
23,0.7552060789688838
24,0.7556389169432021
25,0.7567931515413842
26,0.7652575385947193
27,0.7664117731929014
28,0.7735295532150243
29,0.7733852738902516
30,0.7793007262059347
31,0.7749723464627519
32,0.7757418361948732
33,0.7760303948444188
34,0.7808397056701775
35,0.7854566440629058
36,0.7843505025729813
37,0.7938729380079834
38,0.8141201365844275
39,0.8151300918578368
40,0.8236906651276872
41,0.8251334583754149
42,0.820805078632232
43,0.784735247439042
