HUMAN_B2M
HUMAN_RPL13
HUMAN_RPS14
HUMAN_TMSB10
HUMAN_TMSB4X
HUMAN_RPL11
HUMAN_RPS19
HUMAN_RPLP2
HUMAN_RPL28
HUMAN_RPS6
HUMAN_RPLP1
HUMAN_MT-CO2
HUMAN_RPS4X
HUMAN_MT-CO3
HUMAN_ACTB
HUMAN_RPS18
HUMAN_FTL
HUMAN_UBA52
HUMAN_RPS3
HUMAN_RPL35A
HUMAN_RPL18
HUMAN_RPL8
HUMAN_MT-CO1
HUMAN_RPS15A
HUMAN_MT-ND4
HUMAN_FAU
HUMAN_RPS9
HUMAN_HLA-B
HUMAN_RPL36
HUMAN_EIF1
HUMAN_RPS16
HUMAN_RPL27
HUMAN_FTH1
HUMAN_RPL19
HUMAN_RPL30
HUMAN_HLA-C
HUMAN_RPS23
HUMAN_RPS13
HUMAN_RPS12
HUMAN_TPT1
HUMAN_RPL32
HUMAN_RPL29
HUMAN_RPL34
HUMAN_RPL27A
HUMAN_GNB2L1
HUMAN_RPS11
HUMAN_RPL35
HUMAN_PFDN5
HUMAN_SERF2
HUMAN_RPS5
HUMAN_MT-CYB
HUMAN_RPL13A
HUMAN_RPS8
HUMAN_PFN1
HUMAN_RPL31
HUMAN_JUNB
HUMAN_RPL15
HUMAN_RPL37A
HUMAN_RPS24
HUMAN_HLA-A
HUMAN_RPL14
HUMAN_RPL37
HUMAN_MYL6
HUMAN_ATP5E
HUMAN_RPL23
HUMAN_MT-ND2
HUMAN_RPS20
HUMAN_RPS25
HUMAN_RPL23A
HUMAN_RPL12
HUMAN_EEF1D
HUMAN_COX4I1
HUMAN_MT-ND3
HUMAN_H3F3B
HUMAN_RPL38
HUMAN_RPL10A
HUMAN_RPS21
HUMAN_RPS2
HUMAN_RPL26
HUMAN_MT-ATP6
HUMAN_RPS7
HUMAN_OAZ1
HUMAN_RPS29
HUMAN_NACA
HUMAN_RPL9
HUMAN_SLC25A6
HUMAN_RPL3
HUMAN_EEF2
HUMAN_RPL6
HUMAN_RPL4
HUMAN_DDX5
HUMAN_CFL1
HUMAN_MYL12A
HUMAN_CYBA
HUMAN_CD52
HUMAN_ITM2B
HUMAN_ARHGDIB
HUMAN_SH3BGRL3
HUMAN_BTG1
HUMAN_PTMA
HUMAN_RPL7A
HUMAN_ACTG1
HUMAN_RPL5
HUMAN_RPS15
HUMAN_MT-RNR2
HUMAN_RPSA
HUMAN_C17orf76-AS1
HUMAN_UBC
HUMAN_MT-ND1
HUMAN_GMFG
HUMAN_GAPDH
HUMAN_BTF3
HUMAN_ATP5L
HUMAN_TOMM7
HUMAN_COX7C
HUMAN_ATP5G2
HUMAN_S100A4
HUMAN_ARPC2
HUMAN_CORO1A
HUMAN_S100A6
HUMAN_LAPTM5
HUMAN_HLA-E
HUMAN_COMMD6
HUMAN_UQCRB
HUMAN_EIF3E
MOUSE_Lgals1
HUMAN_RPS27A
HUMAN_TSC22D3
HUMAN_HINT1
HUMAN_C14orf2
HUMAN_PPDPF
HUMAN_TMEM66
HUMAN_RPL36AL
HUMAN_COX6B1
HUMAN_GLTSCR2
HUMAN_SRP14
HUMAN_CCNI
HUMAN_EIF3K
HUMAN_IFITM2
HUMAN_ARPC1B
HUMAN_CALM2
HUMAN_SRSF5
HUMAN_TCEB2
HUMAN_CD37
HUMAN_AIF1
HUMAN_GAS5
HUMAN_EMP3
HUMAN_LIMD2
HUMAN_SNHG5
HUMAN_TXNIP
HUMAN_COX7A2
HUMAN_OST4
HUMAN_SNRPD2
HUMAN_UBB
HUMAN_EDF1
HUMAN_ATP6V1G1
HUMAN_SUB1
HUMAN_CD74
HUMAN_SRGN
HUMAN_RPLP0
HUMAN_FXYD5
HUMAN_CALM1
HUMAN_ZFP36L2
HUMAN_GPSM3
HUMAN_ALDOA
HUMAN_MT-ND5
HUMAN_NAP1L1
HUMAN_FOS
HUMAN_COX5B
HUMAN_VIM
HUMAN_RPL18A
HUMAN_APRT
HUMAN_COTL1
HUMAN_CIRBP
HUMAN_PNRC1
HUMAN_NFKBIA
HUMAN_S100A9
HUMAN_COX6C
HUMAN_CXCR4
HUMAN_HCST
HUMAN_SAT1
HUMAN_SKP1
HUMAN_SSR4
HUMAN_LTB
HUMAN_LDHB
HUMAN_PSME1
HUMAN_UBE2D3
HUMAN_VAMP2
HUMAN_DUSP1
HUMAN_GSTP1
HUMAN_PTPRC
HUMAN_MYL12B
HUMAN_S100A10
HUMAN_LAMTOR4
HUMAN_RBM39
HUMAN_ENO1
HUMAN_UBL5
HUMAN_CHCHD2
HUMAN_SERP1
HUMAN_TYROBP
HUMAN_EIF3H
HUMAN_CDC42
HUMAN_UQCRH
HUMAN_HSP90AA1
HUMAN_PABPC1
HUMAN_EVL
HUMAN_IER2
HUMAN_HNRNPA1
HUMAN_FCER1G
HUMAN_ZFAS1
HUMAN_ARPC5
MOUSE_S100a6
HUMAN_LYZ
HUMAN_SEC61G
HUMAN_FKBP1A
HUMAN_S100A8
HUMAN_EIF3L
HUMAN_POLR2L
HUMAN_EEF1B2
HUMAN_FYB
HUMAN_RSL24D1
HUMAN_GPX4
HUMAN_ATP5D
HUMAN_TMEM258
HUMAN_EIF4A2
HUMAN_NEAT1
HUMAN_NDUFA4
HUMAN_SELL
HUMAN_MZT2B
HUMAN_PNISR
HUMAN_TKT
HUMAN_PTP4A2
HUMAN_CD69
HUMAN_RHOA
HUMAN_UCP2
HUMAN_SNX3
HUMAN_PCBP2
HUMAN_ANXA1
HUMAN_ARPC3
HUMAN_SF1
HUMAN_HNRNPDL
HUMAN_CD44
HUMAN_VAMP8
HUMAN_NDUFA1
HUMAN_CAPZB
HUMAN_EIF3G
HUMAN_SSR2
HUMAN_COX8A
HUMAN_NDUFS5
HUMAN_CLIC1
HUMAN_ERP29
HUMAN_ITGB2
HUMAN_ATP5O
HUMAN_UQCRQ
HUMAN_HNRNPA0
HUMAN_UQCR10
HUMAN_PCBP1
HUMAN_AES
HUMAN_PSMA7
HUMAN_TRBC2
HUMAN_EIF3M
HUMAN_RPS27
HUMAN_GPX1
HUMAN_CTSS
HUMAN_CD7
HUMAN_PSAP
HUMAN_NEDD8
HUMAN_CST3
HUMAN_SON
HUMAN_RAC2
HUMAN_HLA-DRA
HUMAN_NDUFB11
HUMAN_TAGLN2
HUMAN_SRSF3
HUMAN_DAZAP2
HUMAN_SLC25A5
HUMAN_HNRNPK
HUMAN_C19orf53
HUMAN_CUTA
HUMAN_LGALS1
HUMAN_ATP5J2
HUMAN_HIGD2A
HUMAN_ATP6V0E1
HUMAN_LST1
HUMAN_PTPRCAP
HUMAN_GUK1
HUMAN_CSTB
HUMAN_NDUFB2
HUMAN_COX7B
HUMAN_C9orf16
HUMAN_YWHAB
HUMAN_NOSIP
HUMAN_TSPO
HUMAN_SH3BGRL
HUMAN_BRK1
HUMAN_EIF3F
HUMAN_NOP10
HUMAN_PPP1CA
HUMAN_ATP5I
HUMAN_AP2S1
HUMAN_ANAPC16
HUMAN_HNRNPA2B1
HUMAN_MT-RNR1
HUMAN_SEC61B
HUMAN_CCNL1
MOUSE_Fth1
HUMAN_EID1
HUMAN_EIF3D
HUMAN_ARL6IP5
HUMAN_RNASET2
HUMAN_ZFP36
HUMAN_AP1S2
HUMAN_XIST
HUMAN_ICAM3
HUMAN_HMGN1
HUMAN_ATP5J
HUMAN_PARK7
HUMAN_SAP18
HUMAN_TMEM123
HUMAN_HSP90AB1
HUMAN_HMGB1
HUMAN_DRAP1
HUMAN_POMP
HUMAN_C19orf43
HUMAN_ATPIF1
HUMAN_C6orf48
HUMAN_UBXN1
HUMAN_TMEM59
HUMAN_CD3D
HUMAN_HSPA8
HUMAN_MCL1
HUMAN_S100A11
HUMAN_DDIT4
HUMAN_PSMB3
HUMAN_GSTK1
HUMAN_CMPK1
HUMAN_STK4
HUMAN_ATP5G3
HUMAN_ANP32B
HUMAN_COPE
HUMAN_USMG5
HUMAN_FAM49B
HUMAN_SOD1
HUMAN_RBM3
HUMAN_VAPA
HUMAN_IL32
HUMAN_SPCS1
HUMAN_N4BP2L2
HUMAN_PPIB
HUMAN_CD48
HUMAN_PLAC8
HUMAN_ID2
HUMAN_COX7A2L
HUMAN_GYPC
HUMAN_LCP1
HUMAN_YBX1
HUMAN_SEPT7
HUMAN_NDUFA11
HUMAN_LSM7
HUMAN_H2AFY
HUMAN_SRSF2
HUMAN_JUN
HUMAN_HNRNPC
HUMAN_PGK1
HUMAN_DBI
HUMAN_RGS10
HUMAN_SLC25A3
MOUSE_Tmsb4x
HUMAN_SF3B5
HUMAN_TPI1
HUMAN_TMBIM6
HUMAN_GDI2
HUMAN_CD53
HUMAN_SNHG6
HUMAN_RPL22
HUMAN_TPM3
HUMAN_HLA-DRB1
HUMAN_LDHA
HUMAN_JTB
HUMAN_UXT
HUMAN_PSMB1
HUMAN_HBB
HUMAN_SEC62
HUMAN_PSMA4
HUMAN_KLF2
HUMAN_NDUFB7
HUMAN_TRAF3IP3
HUMAN_C4orf3
HUMAN_CAP1
HUMAN_HMGN3
HUMAN_HSD17B11
HUMAN_CEBPB
HUMAN_UBE2D2
HUMAN_SMDT1
HUMAN_RPL10
HUMAN_CALM3
HUMAN_EIF2S3
HUMAN_FUS
HUMAN_ATP5C1
HUMAN_DAD1
HUMAN_ATP6V1F
MOUSE_Rps5
HUMAN_ABRACL
HUMAN_PKM
HUMAN_TALDO1
HUMAN_PRDX5
HUMAN_ATP6V0B
HUMAN_FCN1
HUMAN_EIF4G2
HUMAN_EVI2B
HUMAN_RAC1
HUMAN_CCND3
HUMAN_ITM2A
HUMAN_CD63
HUMAN_U2AF1
HUMAN_ERH
HUMAN_ACTR3
HUMAN_IL7R
HUMAN_NDUFB9
HUMAN_SRRM1
HUMAN_CNBP
HUMAN_GABARAPL2
HUMAN_C14orf166
HUMAN_WDR83OS
HUMAN_SLC2A3
HUMAN_LY6E
HUMAN_LRRFIP1
HUMAN_C10orf54
MOUSE_mt-Nd1
HUMAN_PGLS
HUMAN_ATP5B
HUMAN_SRRM2
HUMAN_MYEOV2
HUMAN_SEPT9
HUMAN_CD99
HUMAN_SRSF9
HUMAN_CD3E
HUMAN_NDFIP1
HUMAN_IFITM1
HUMAN_C1orf63
HUMAN_ACAP1
HUMAN_LAMTOR1
HUMAN_MORF4L1
HUMAN_PCED1B-AS1
HUMAN_MTDH
HUMAN_CFD
HUMAN_PTGES3
HUMAN_TIMP1
HUMAN_JAK1
HUMAN_LEPROTL1
HUMAN_PAIP2
HUMAN_LCK
HUMAN_ARF1
HUMAN_C11orf31
HUMAN_PYCARD
HUMAN_TMED2
HUMAN_SEP15
HUMAN_FAM65B
HUMAN_CSDE1
HUMAN_ARF6
HUMAN_GHITM
HUMAN_NCL
HUMAN_YPEL3
HUMAN_SNRPB
HUMAN_NDUFB10
HUMAN_SDCBP
HUMAN_TUBA1B
HUMAN_LSM5
HUMAN_PSMB9
HUMAN_DYNLL1
HUMAN_GTF3A
HUMAN_BLOC1S1
HUMAN_TRAC
HUMAN_FKBP8
HUMAN_BAX
HUMAN_NFKBIZ
HUMAN_STXBP2
MOUSE_S100a4
HUMAN_NHP2L1
HUMAN_CD164
HUMAN_SOX4
HUMAN_RABAC1
HUMAN_SEC11A
HUMAN_ATP5A1
HUMAN_FOXP1
HUMAN_GPR183
HUMAN_NDUFA2
HUMAN_MIF
HUMAN_NPC2
HUMAN_BIN2
HUMAN_CIB1
HUMAN_C11orf58
HUMAN_HBG2
HUMAN_ARPC4
HUMAN_TRAPPC1
HUMAN_EIF5A
HUMAN_AP2M1
HUMAN_DDT
HUMAN_YBX3
HUMAN_DUSP2
