Mrpl15
Lypla1
Gm37988
Tcea1
Rgs20
Atp6v1h
Rb1cc1
St18
Pcmtd1
Gm26901
Sntg1
Rrs1
Mybl1
Vcpip1
Sgk3
Mcmdc2
Snhg6
Cops5
Cspp1
Arfgef1
Cpa6
Prex2
A830018L16Rik
Sulf1
Slco5a1
Ncoa2
Tram1
Lactb2
Eya1
Kcnb2
Terf1
Rpl7
Rdh10
Stau2
Ube2w
Eloc
Tmem70
Jph1
Crispld1
Tfap2b
Pkhd1
Mcm3
Paqr8
Tram2
Kcnq5
Rims1
Gm29107
Ogfrl1
Smap1
Fam135a
Col9a1
Lmbrd1
Adgrb3
Phf3
Ptp4a1
Khdrbs2
Prim2
Rab23
Bag2
Zfp451
Dst
Imp4
Arhgef4
Fam168b
Plekhb2
Hs6st1
Uggt1
Kansl3
Lman2l
Cnnm4
Cnnm3
Ankrd39
Sema4c
Cox5b
Actr1b
Tmem131
Inpp4a
Coa5
Unc50
Mgat4a
Tsga10
Mitd1
Mrpl30
Txndc9
Eif5b
Rev1
Aff3
Lonrf2
Chst10
Pdcl3
Rpl31
Tbc1d8
Cnot11
Rnf149
Map4k4
Gm29260
Pantr1
Pou3f3
Mrps9
Gpr45
Tgfbrap1
AI597479
Fhl2
Nck2
Uxs1
Tpp2
Tex30
Poglut2
Bivm
Ercc5
Gulp1
Col3a1
Col5a2
Wdr75
Dnah7b
Dnah7c
Slc39a10
Tmeff2
Nabp1
Myo1b
Stat1
Gls
Nab1
Nemp2
Inpp1
Hibch
1700019A02Rik
Pms1
Ormdl1
Osgepl1
Asnsd1
Stk17b
Hecw2
Ccdc150
Gtf3c3
Pgap1
Ankrd44
Sf3b1
Coq10b
Hspd1
Hspe1
Mob4
Rftn2
Mars2
Plcl1
Satb2
Tyw5
Maip1
Spats2l
Kctd18
Sgo2a
Bzw1
Clk1
Ppil3
Nif3l1
Orc2
Gm15834
Hycc2
Ndufb3
Cflar
Casp8
Trak2
Stradb
Tmem237
Als2
Fzd7
Gm973
Sumo1
Nop58
Bmpr2
Fam117b
Ica1l
Wdr12
Carf
Nbeal1
Cyp20a1
Abi2
Raph1
Pard3b
Nrp2
Ino80d
Ino80dos
Gm20342
Ndufs1
Eef1b2
Zdbf2
Adam23
Fastkd2
Klf7
Creb1
