,0
0,0.6583988608259013
1,0.6684803682064222
2,0.6674803778398019
3,0.6583988608259013
4,0.6635897368211071
5,0.6583988608259013
6,0.6624936957857069
7,0.6570159490772822
8,0.6583988608259013
9,0.6438927329020379
10,0.6583988608259013
11,0.6491212385296109
12,0.6438927329020379
13,0.6684803682064222
14,0.6624936957857069
15,0.6591924575347483
16,0.6624936957857069
17,0.6624210809009186
18,0.6583988608259013
19,0.6624936957857069
20,0.6686333597153621
21,0.6729982573328495
22,0.6651199833415014
23,0.6491212385296109
24,0.6570159490772822
25,0.6624936957857069
26,0.6583988608259013
27,0.6624936957857069
28,0.6651568019895477
29,0.6643324894882923
30,0.646312129275685
31,0.6583988608259013
32,0.6684803682064222
33,0.6549244202782818
34,0.6633074628212106
35,0.6651199833415014
36,0.6624936957857069
37,0.6684803682064222
38,0.6583988608259013
39,0.6583988608259013
40,0.6491212385296109
41,0.6491212385296109
42,0.6624936957857069
43,0.6459845292944846
44,0.6538367439948667
45,0.6583988608259013
46,0.6651568019895477
47,0.6583988608259013
48,0.6624936957857069
49,0.6583988608259013
50,0.6684803682064222
51,0.6583988608259013
52,0.6583988608259013
53,0.6624936957857069
54,0.6548218809730872
55,0.6684803682064222
56,0.6624936957857069
57,0.6570159490772822
58,0.6651199833415014
59,0.6624936957857069
60,0.6651199833415014
61,0.6583988608259013
62,0.6684803682064222
63,0.6591924575347483
64,0.6500969335390046
65,0.6674803778398019
66,0.6583988608259013
67,0.6684803682064222
68,0.6651199833415014
69,0.6491212385296109
70,0.6598938049362588
71,0.660271886553446
72,0.6651568019895477
73,0.6651199833415014
74,0.6651568019895477
75,0.6729982573328495
76,0.6646081923616904
77,0.6438927329020379
78,0.6491212385296109
79,0.6684803682064222
80,0.6643324894882923
81,0.6635897368211071
82,0.6651199833415014
83,0.6583988608259013
84,0.6684803682064222
85,0.6589569702875442
86,0.6684803682064222
87,0.6583988608259013
88,0.6729982573328495
89,0.6576502267621285
90,0.6729982573328495
91,0.6633074628212106
92,0.6583988608259013
93,0.6729982573328495
94,0.6583988608259013
95,0.6694359771641349
96,0.6570159490772822
97,0.6438927329020379
98,0.6624936957857069
99,0.6651199833415014
