,0
0,0.7000885712460259
1,0.6854502952696746
2,0.6872498802791236
3,0.7085752239026488
4,0.690082276505678
5,0.7096818229568091
6,0.7049403204414042
7,0.7079093225590385
8,0.7049403204414042
9,0.7049403204414042
10,0.6950991241714501
11,0.6981267285586653
12,0.703441467522156
13,0.6975894125087412
14,0.7086939279814946
15,0.7013736513490048
16,0.6927604759027806
17,0.7013736513490048
18,0.7018042349809293
19,0.6988756463472006
20,0.7014904262017803
21,0.7070645315513636
22,0.7049403204414042
23,0.6927604759027806
24,0.70812880489058
25,0.6912916285442314
26,0.6974375531459801
27,0.6916133994175143
28,0.7049403204414042
29,0.7064335047153445
30,0.6950991241714501
31,0.7001669412009024
32,0.7049403204414042
33,0.7002022256837208
34,0.697494049305806
35,0.6935581636426419
36,0.7002022256837208
37,0.6944437160283624
38,0.7053300871739425
39,0.6988011626057373
40,0.7020864763007744
41,0.7067513703501029
42,0.6989669320002425
43,0.7049403204414042
44,0.6878682947479307
45,0.695221172941674
46,0.7038271682442893
47,0.7004619949220602
48,0.7014904262017803
49,0.7122525933084574
50,0.695201820299183
51,0.6950991241714501
52,0.7028573822723174
53,0.6948137587879358
54,0.695221172941674
55,0.7065267210340794
56,0.6935581636426419
57,0.6894256901716447
58,0.6995061426171583
59,0.7049403204414042
60,0.6987840253314328
61,0.6955861334734088
62,0.7071638424082899
63,0.703441467522156
64,0.6920834246535146
65,0.7057029881601082
66,0.697494049305806
67,0.6943367731159906
68,0.6959130516705957
69,0.6998247677383944
70,0.7049403204414042
71,0.6983511414736545
72,0.6998642072263753
73,0.6963711083128952
74,0.6989669320002425
75,0.7048418418530717
76,0.7057370344595091
77,0.6950991241714501
78,0.697494049305806
79,0.7049403204414042
80,0.6874784512939419
81,0.7002022256837208
82,0.6891432229835519
83,0.7006792122608072
84,0.7002568911740725
85,0.7052737878614816
86,0.6972204675627133
87,0.6996561150215739
88,0.6972523680220348
89,0.6981719207453748
90,0.6991825297212519
91,0.7079093225590385
92,0.6950991241714501
93,0.7017946017174016
94,0.6988011626057373
95,0.697494049305806
96,0.6902399955952363
97,0.6918501165599074
98,0.703441467522156
99,0.6890370297674511
