,0
0,0.8512821796819863
1,0.8512821796819863
2,0.8356585444042504
3,0.8512821796819863
4,0.8512821796819863
5,0.8356585444042504
6,0.8512821796819863
7,0.8726773078842394
8,0.8356585444042504
9,0.8323036700582767
10,0.8356585444042504
11,0.8323036700582767
12,0.8356585444042504
13,0.8356585444042504
14,0.8512821796819863
15,0.8512821796819863
16,0.8512821796819863
17,0.8525595677814366
18,0.8356585444042504
19,0.8356585444042504
20,0.8356585444042504
21,0.8356585444042504
22,0.8525667748797301
23,0.7507231966730716
24,0.8356585444042504
25,0.8512821796819863
26,0.8323036700582767
27,0.8323036700582767
28,0.8356585444042504
29,0.8323036700582767
30,0.8323036700582767
31,0.8525595677814366
32,0.8356585444042504
33,0.8512821796819863
34,0.8512821796819863
35,0.8525595677814366
36,0.8512821796819863
37,0.7474542309580681
38,0.8726773078842394
39,0.8525595677814366
40,0.8356585444042504
41,0.8512821796819863
42,0.8356585444042504
43,0.8356585444042504
44,0.8356585444042504
45,0.8356585444042504
46,0.8323036700582767
47,0.8356585444042504
48,0.8525595677814366
49,0.8356585444042504
50,0.8356585444042504
51,0.8356585444042504
52,0.8356585444042504
53,0.8512821796819863
54,0.8512821796819863
55,0.8525595677814366
56,0.8512821796819863
57,0.8512821796819863
58,0.8512821796819863
59,0.8323036700582767
60,0.8356585444042504
61,0.8525595677814366
62,0.8512821796819863
63,0.8356585444042504
64,0.8726773078842394
65,0.8323036700582767
66,0.8512821796819863
67,0.7474542309580681
68,0.8356585444042504
69,0.8356585444042504
70,0.8356585444042504
71,0.8356585444042504
72,0.8356585444042504
73,0.7537938131540063
74,0.8726773078842394
75,0.8356585444042504
76,0.8726773078842394
77,0.8356585444042504
78,0.8525595677814366
79,0.8356585444042504
80,0.8512821796819863
81,0.8356585444042504
82,0.7474542309580681
83,0.8356585444042504
84,0.8512821796819863
85,0.8512821796819863
86,0.8356585444042504
87,0.8356585444042504
88,0.8323036700582767
89,0.8323036700582767
90,0.8512821796819863
91,0.8512821796819863
92,0.7507231966730716
93,0.8323036700582767
94,0.8356585444042504
95,0.8356585444042504
96,0.8525595677814366
97,0.8356585444042504
98,0.7537938131540063
99,0.7537938131540063
